Job Zone,Occupation,Data-level,Code,cps_code
3,Web Developers,Y,15-1254.00,1031
4,Web and Digital Interface Designers,Y,15-1255.00,1032
4,Video Game Designers,Y,15-1255.01,1032
,"Computer Occupations, All Other",,15-1299.00,1108
4,Web Administrators,Y,15-1299.01,1108
3,Geographic Information Systems Technologists and Technicians,Y,15-1299.02,1108
4,Document Management Specialists,Y,15-1299.03,1108
4,Penetration Testers,Y,15-1299.04,1108
4,Information Security Engineers,Y,15-1299.05,1108
4,Digital Forensics Analysts,Y,15-1299.06,1108
4,Blockchain Engineers,Y,15-1299.07,1108
3,Computer Systems Engineers/Architects,Y,15-1299.08,1108
4,Information Technology Project Managers,Y,15-1299.09,1108
4,Actuaries,Y,15-2011.00,1200
5,Mathematicians,Y,15-2021.00,1210
5,Operations Research Analysts,Y,15-2031.00,1220
5,Statisticians,Y,15-2041.00,1230
5,Biostatisticians,Y,15-2041.01,1230
4,Data Scientists,Y,15-2051.00,1240
4,Business Intelligence Analysts,Y,15-2051.01,1240
4,Clinical Data Managers,Y,15-2051.02,1240
,"Mathematical Science Occupations, All Other",,15-2099.00,1240
4,Bioinformatics Technicians,Y,15-2099.01,1240
5,"Architects, Except Landscape and Naval",Y,17-1011.00,1305
4,Landscape Architects,Y,17-1012.00,1306
4,Cartographers and Photogrammetrists,Y,17-1021.00,1310
4,Surveyors,Y,17-1022.00,1310
4,Geodetic Surveyors,Y,17-1022.01,1310
4,Aerospace Engineers,Y,17-2011.00,1320
4,Agricultural Engineers,Y,17-2021.00,1330
4,Bioengineers and Biomedical Engineers,Y,17-2031.00,1340
4,Chemical Engineers,Y,17-2041.00,1350
4,Civil Engineers,Y,17-2051.00,1360
4,Transportation Engineers,Y,17-2051.01,1360
4,Water/Wastewater Engineers,Y,17-2051.02,1360
4,Computer Hardware Engineers,Y,17-2061.00,1400
4,Electrical Engineers,Y,17-2071.00,1410
4,"Electronics Engineers, Except Computer",Y,17-2072.00,1410
4,Radio Frequency Identification Device Specialists,Y,17-2072.01,1410
4,Environmental Engineers,Y,17-2081.00,1420
4,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Y,17-2111.00,1430
4,Fire-Prevention and Protection Engineers,Y,17-2111.02,1430
4,Industrial Engineers,Y,17-2112.00,1430
5,Human Factors Engineers and Ergonomists,Y,17-2112.01,1430
4,Validation Engineers,Y,17-2112.02,1430
4,Manufacturing Engineers,Y,17-2112.03,1430
4,Marine Engineers and Naval Architects,Y,17-2121.00,1440
4,Materials Engineers,Y,17-2131.00,1450
4,Mechanical Engineers,Y,17-2141.00,1460
4,Fuel Cell Engineers,Y,17-2141.01,1460
4,Automotive Engineers,Y,17-2141.02,1460
4,"Mining and Geological Engineers, Including Mining Safety Engineers",Y,17-2151.00,1500
4,Nuclear Engineers,Y,17-2161.00,1510
4,Petroleum Engineers,Y,17-2171.00,1520
,"Engineers, All Other",,17-2199.00,1530
4,"Energy Engineers, Except Wind and Solar",Y,17-2199.03,1530
