Job Zone,Occupation,Data-level,Code,cps_code
3,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Y,53-1043.00,9005
3,First-Line Supervisors of Passenger Attendants,Y,53-1044.00,9005
,"First-Line Supervisors of Transportation Workers, All Other",,53-1049.00,9005
4,"Airline Pilots, Copilots, and Flight Engineers",Y,53-2011.00,9030
3,Commercial Pilots,Y,53-2012.00,9030
3,Air Traffic Controllers,Y,53-2021.00,9040
3,Airfield Operations Specialists,Y,53-2022.00,9040
2,Flight Attendants,Y,53-2031.00,9050
2,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Y,53-3011.00,9110
2,Driver/Sales Workers,Y,53-3031.00,9130
2,Heavy and Tractor-Trailer Truck Drivers,Y,53-3032.00,9130
2,Light Truck Drivers,Y,53-3033.00,9130
2,"Bus Drivers, School",Y,53-3051.00,9121
2,"Bus Drivers, Transit and Intercity",Y,53-3052.00,9122
2,Shuttle Drivers and Chauffeurs,Y,53-3053.00,9141
2,Taxi Drivers,Y,53-3054.00,9142
,"Motor Vehicle Operators, All Other",,53-3099.00,9150
2,Locomotive Engineers,Y,53-4011.00,9210
2,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Y,53-4013.00,9210
2,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Y,53-4022.00,9265
2,Railroad Conductors and Yardmasters,Y,53-4031.00,9240
2,Subway and Streetcar Operators,Y,53-4041.00,9265
,"Rail Transportation Workers, All Other",,53-4099.00,9265
2,Sailors and Marine Oilers,Y,53-5011.00,9300
3,"Captains, Mates, and Pilots of Water Vessels",Y,53-5021.00,9310
2,Motorboat Operators,Y,53-5022.00,9310
3,Ship Engineers,Y,53-5031.00,9330
2,Bridge and Lock Tenders,Y,53-6011.00,9430
2,Parking Attendants,Y,53-6021.00,9350
2,Automotive and Watercraft Service Attendants,Y,53-6031.00,9365
2,Aircraft Service Attendants,Y,53-6032.00,9365
3,Traffic Technicians,Y,53-6041.00,9430
4,Transportation Inspectors,Y,53-6051.00,9410
3,Aviation Inspectors,Y,53-6051.01,9410
2,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Y,53-6051.07,9410
2,Passenger Attendants,Y,53-6061.00,9415
,"Transportation Workers, All Other",,53-6099.00,9430
1,Conveyor Operators and Tenders,Y,53-7011.00,9570
3,Crane and Tower Operators,Y,53-7021.00,9510
2,Dredge Operators,Y,53-7031.00,9570
2,Hoist and Winch Operators,Y,53-7041.00,9570
2,Industrial Truck and Tractor Operators,Y,53-7051.00,9600
2,Cleaners of Vehicles and Equipment,Y,53-7061.00,9610
2,"Laborers and Freight, Stock, and Material Movers, Hand",Y,53-7062.00,9620
2,Recycling and Reclamation Workers,Y,53-7062.04,9620
2,Machine Feeders and Offbearers,Y,53-7063.00,9630
2,"Packers and Packagers, Hand",Y,53-7064.00,9640
2,Stockers and Order Fillers,Y,53-7065.00,9645
2,Gas Compressor and Gas Pumping Station Operators,Y,53-7071.00,9650
2,"Pump Operators, Except Wellhead Pumpers",Y,53-7072.00,9650
2,Wellhead Pumpers,Y,53-7073.00,9650
2,Refuse and Recyclable Material Collectors,Y,53-7081.00,9720
2,"Tank Car, Truck, and Ship Loaders",Y,53-7121.00,9760
,"Material Moving Workers, All Other",,53-7199.00,9760
,Air Crew Officers,,55-1011.00,9800
,Aircraft Launch and Recovery Officers,,55-1012.00,9800
,Armored Assault Vehicle Officers,,55-1013.00,9800
,Artillery and Missile Officers,,55-1014.00,9800
,Command and Control Center Officers,,55-1015.00,9800
,Infantry Officers,,55-1016.00,9800
,Special Forces Officers,,55-1017.00,9800
,"Military Officer Special and Tactical Operations Leaders, All Other",,55-1019.00,9800
,First-Line Supervisors of Air Crew Members,,55-2011.00,9810
,First-Line Supervisors of Weapons Specialists/Crew Members,,55-2012.00,9810
,First-Line Supervisors of All Other Tactical Operations Specialists,,55-2013.00,9810
,Air Crew Members,,55-3011.00,9825
,Aircraft Launch and Recovery Specialists,,55-3012.00,9825
,Armored Assault Vehicle Crew Members,,55-3013.00,9825
,Artillery and Missile Crew Members,,55-3014.00,9825
,Command and Control Center Specialists,,55-3015.00,9825
,Infantry,,55-3016.00,9825
,Special Forces,,55-3018.00,9825
,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",,55-3019.00,9825
